"","epi_ctry","epi_subj","epi_demo_sex","epi_demo_age","epi_demo_edu","epi_demo_edu_8_TEXT","epi_demo_occ","epi_demo_pocc","epi_demo_ethn","epi_demo_chn_howl","epi_demo_vut_whis","epi_demo_whli","epi_demo_howl","epi_demo_thl_ses","epi_demo_rlgn","epi_demo_prel","epi_demo_chur","epi_demo_ubru","epi_demo_ses_num","epi_demo_ses_cat","epi_demo_howr_cat","epi_demo_howr_num","epi_demo_affr_num","epi_demo_tung_num","epi_demo_ytng_num","epi_demo_affr_cat","epi_demo_tung_cat","epi_demo_ytng_cat","epi_version","epi_recr","epi_wher","epi_whoc","epi_inlang","epi_charc"
"1","China",20472,"Male",48,NA,NA,"Radio","Scientific worker","Han","48",NA,"Shanghai",NA,NA,"Buddhism","None","None","Urban",-1,"a little poorer","strongly agree",2,1,1,1,NA,NA,NA,1,"Face to face","Public spaces around Shanghai","Xiaodiao Pu","Chinese","0"
"2","China",20471,"Male",55,NA,NA,"Mechanical engineering","Soldiers","Han","55",NA,"Missing Data",NA,NA,"Buddhism","None","Temples (every month)","Urban",0,"about the same","strongly agree",2,1,1,1,NA,NA,NA,1,"Face to face","Public spaces around Shanghai","Xiaodiao Pu","Chinese","0"
"3","China",20468,"Male",38,NA,NA,"Business administration","Individual businesses","Han","38",NA,"Shanghai",NA,NA,"None","None","None","Rural",0,"about the same","disagree",-1,1,1,1,NA,NA,NA,1,"Face to face","Public spaces around Shanghai","Xiaodiao Pu","Chinese","0"
"4","China",20467,"Female",37,NA,NA,"Accounting","Farmers","Han","18",NA,"Jiangsu province",NA,NA,"Buddhism","None","Temples (on festivals)","Rural",0,"about the same","agree",1,1,1,1,NA,NA,NA,1,"Face to face","Public spaces around Shanghai","Xiaodiao Pu","Chinese","0"
"5","China",20464,"Male",50,NA,NA,"Lawyer","Dad: Civil servant","Han","15",NA,"Jiangsu province",NA,NA,"Buddhism","Buddhism","Temples","Rural",1,"a little richer","strongly agree",2,1,1,1,NA,NA,NA,1,"Face to face","Public spaces around Shanghai","Xiaodiao Pu","Chinese","0"
"6","China",20463,"Female",55,NA,NA,"Automobile mechanics","Dad: Worker","Han","55",NA,"Shanghai",NA,NA,"Buddhism","Buddhism","Temples","Rural",-1,"a little poorer","neither agree nor disagree",0,1,1,1,NA,NA,NA,1,"Face to face","Public spaces around Shanghai","Xiaodiao Pu","Chinese","0"
"7","China",20460,"Male",57,NA,NA,"Lawyer","Worker","Han","57",NA,"Shanghai",NA,NA,"None","None","Taoist or Buddhist temples (sightseeing)","Urban",-1,"a little poorer","strongly disagree",-2,1,1,1,NA,NA,NA,1,"Face to face","Public spaces around Shanghai","Xiaodiao Pu","Chinese","0"
"8","China",20459,"Male",35,NA,NA,"News","Farmer","Han","7.5",NA,"Jiangsu Province",NA,NA,"Taoism","Mom: Taoism","Taoist mountains (traveling)","Rural",0,"about the same","neither agree nor disagree",0,1,1,1,NA,NA,NA,1,"Face to face","Public spaces around Shanghai","Xiaodiao Pu","Chinese","0"
"9","China",20461,"Female",37,NA,NA,"finance","worker","Han","37",NA,"Shanghai",NA,NA,"Buddhism","Mom: Buddhism","Not trans","Urban",0,"about the same","agree",1,1,1,1,NA,NA,NA,1,"Face to face","Public spaces around Shanghai","Xiaodiao Pu","Chinese","0"
"10","China",20465,"Female",25,NA,NA,"finance","Mom: Bank manager, Dad: Univ. professor","Han","25",NA,"Shanghai",NA,NA,"None","None","None","Urban",0,"about the same","disagree",-1,1,1,1,NA,NA,NA,1,"Face to face","Public spaces around Shanghai","Xiaodiao Pu","Chinese","0"
