"","epi_ctry","epi_subj","score"
"1","US",10381,5.5
"2","US",10382,3
"3","US",10383,10
"4","US",10384,0
"5","US",10385,4
"6","US",10386,5
"7","US",10387,10
"8","US",10388,8
"9","US",10389,5
"10","US",10390,1
"11","US",10391,6
"12","US",10392,0
"13","US",10393,8.5
"14","US",10394,10
"15","US",10395,0
"16","US",10396,0
"17","US",10397,1
"18","US",10398,2.5
"19","US",10399,8
"20","US",10400,7
"21","US",10401,4
"22","US",10402,3.5
"23","US",10403,6
"24","US",10404,6.5
"25","US",10405,8.5
"26","US",10406,0.5
"27","US",10407,0
"28","US",10408,0.5
"29","US",10409,6.5
"30","US",10410,1.5
"31","US",10411,0.5
"32","US",10412,3.5
"33","US",10413,2.5
"34","US",10414,0.5
"35","US",10415,0
"36","US",10416,1.5
"37","US",10417,10
"38","US",10418,13
"39","US",10419,9.5
"40","US",10420,0
"41","US",10421,1
"42","US",10422,2
"43","US",10423,11
"44","US",10424,4
"45","US",10425,3.5
"46","US",10426,0
"47","US",10427,7.5
"48","US",10428,3
"49","US",10429,4
"50","US",10430,8.5
"51","US",10431,5.5
"52","US",10432,0
"53","US",10433,3
"54","US",10434,3
"55","US",10435,1
"56","US",10436,9
"57","US",10437,5.5
"58","US",10438,6.5
"59","US",10439,8
"60","US",10440,9
"61","US",10441,0
"62","US",10442,8
"63","US",10443,3
"64","US",10444,2
"65","US",10445,9
"66","US",10446,6
"67","US",10447,2
"68","US",10448,0
"69","US",10449,1
"70","US",10450,10
"71","US",10451,4
"72","US",10452,8.5
"73","US",10453,0.5
"74","US",10454,8.5
"75","US",10455,6.5
"76","US",10456,3.5
"77","US",10457,5
"78","US",10458,0.5
"79","US",10460,6
"80","US",10461,4.5
"81","US",10462,5
"82","US",10463,0
"83","US",10464,9.5
"84","US",10465,3
"85","US",10466,12.5
"86","US",10467,4.5
"87","US",10468,3
"88","US",10469,5.5
"89","US",10470,0.5
"90","US",10471,0
"91","US",10472,0.5
"92","US",10473,4
"93","US",10474,0
"94","US",10475,4.5
"95","US",10476,1.5
"96","US",10477,9.5
"97","US",10478,0.5
"98","US",10479,9.5
"99","US",10480,5.5
"100","US",10481,0
"101","US",10482,6.5
"102","US",10483,7
"103","US",10484,7
"104","US",10485,4.5
"105","US",10486,11
"106","US",10487,4
"107","US",10488,7.5
"108","US",10489,6
"109","US",10490,6.5
"110","US",10491,4.5
"111","US",10492,9.5
"112","US",10493,9.5
"113","US",10494,13
"114","US",10495,4.5
"115","US",10496,4
"116","US",10501,0
"117","US",10502,0
"118","US",10503,0
"119","US",10504,1
"120","US",10505,4.5
"121","US",10506,2.5
"122","US",10507,3
"123","US",10508,1
"124","US",10509,2.5
"125","US",10510,1.5
"126","US",10511,4
"127","US",10512,1
"128","US",10513,4
"129","US",10514,2.5
"130","US",10515,3.5
"131","US",10516,2.5
"132","US",10517,5
"133","US",10518,0
"134","US",10519,7
"135","US",10520,9
"136","US",10521,10
"137","US",10522,6.5
"138","US",10523,5.5
"139","US",10524,9
"140","US",10525,4
"141","US",10526,1.5
"142","US",10527,4
"143","US",10528,0
"144","US",10529,8.5
"145","US",10530,0.5
"146","US",10531,6
"147","US",10532,1
"148","US",10533,0.5
"149","US",10534,7
"150","US",10535,2.5
"151","US",10536,2
"152","US",10537,1
"153","US",10538,3
"154","US",10539,10.5
"155","US",10540,2.5
"156","US",10541,10
"157","US",10542,3.5
"158","US",10543,2.5
"159","US",10544,3
"160","US",10545,6
"161","US",10546,0.5
"162","US",10547,2.5
"163","US",10548,1
"164","US",10549,11.5
"165","US",10550,7
"166","US",10552,4.5
"167","US",10553,3.5
"168","US",10554,0
"169","US",10555,8
"170","US",10556,5
"171","US",10557,8.5
"172","US",10558,2
"173","US",10559,5.5
"174","US",10560,9
"175","US",10561,0.5
"176","US",10562,9.5
"177","US",10563,2.5
"178","US",10564,0
"179","US",10565,7.5
"180","US",10566,3.5
"181","US",10567,11.5
"182","US",10568,14
"183","US",10569,0
"184","US",10570,4
"185","US",10571,3
"186","US",10572,8
"187","US",10573,0.5
"188","US",10574,0.5
"189","US",10575,5.5
"190","US",10576,8
"191","US",10577,2.5
"192","US",10578,3.5
"193","US",10579,8
"194","US",10580,1.5
"195","US",10581,1
"196","US",10582,1.5
"197","US",10583,2
"198","US",10584,3
"199","US",10585,8
"200","US",10586,7.5
"201","US",10587,0.5
"202","US",10588,1
"203","US",10589,9.5
"204","US",10590,11
"205","US",10591,10.5
"206","US",10592,3.5
"207","US",10593,2
"208","US",10594,1
"209","US",10595,1.5
"210","US",10596,6.5
"211","US",10597,2.5
"212","US",10598,7.5
"213","US",10599,14
"214","US",10600,3.5
"215","US",10601,3.5
"216","US",10602,6.5
"217","US",10603,4
"218","US",10604,5
"219","US",10605,6
"220","US",10606,5.5
"221","US",10608,6.5
"222","US",10609,9
"223","US",10610,6
"224","US",10611,12
"225","US",10612,10
"226","US",10613,4
"227","Ghana",40601,10.5
"228","Ghana",40602,8
"229","Ghana",40603,13
"230","Ghana",40604,8.5
"231","Ghana",40605,13
