"","epi_ctry","epi_subj","score_first5","score_propall"
"1","US",10381,0,0
"2","US",10382,1,0.2
"3","US",10383,2,0.4
"4","US",10384,0,0
"5","US",10385,0,0
"6","US",10386,1,0.2
"7","US",10387,1,0.2
"8","US",10388,2,0.4
"9","US",10389,0,0
"10","US",10390,0,0
"11","US",10391,1,0.2
"12","US",10392,0,0
"13","US",10393,3,0.6
"14","US",10394,3,0.6
"15","US",10395,0,0
"16","US",10396,0,0
"17","US",10397,1,0.2
"18","US",10398,1,0.2
"19","US",10399,2,0.4
"20","US",10400,0,0
"21","US",10401,1,0.2
"22","US",10402,0,0
"23","US",10403,0,0
"24","US",10404,2,0.4
"25","US",10405,3,0.6
"26","US",10406,2,0.4
"27","US",10407,0,0
"28","US",10408,1,0.2
"29","US",10409,2,0.4
"30","US",10410,0,0
"31","US",10411,0,0
"32","US",10412,0,0
"33","US",10413,2,0.4
"34","US",10414,0,0
"35","US",10415,0,0
"36","US",10416,1,0.2
"37","US",10417,2,0.4
"38","US",10418,2,0.4
"39","US",10419,1,0.2
"40","US",10420,0,0
"41","US",10421,1,0.2
"42","US",10422,0,0
"43","US",10423,3,0.6
"44","US",10424,0,0
"45","US",10425,2,0.4
"46","US",10426,0,0
"47","US",10427,1,0.2
"48","US",10428,1,0.2
"49","US",10429,0,0
"50","US",10430,2,0.4
"51","US",10431,1,0.2
"52","US",10432,0,0
"53","US",10433,1,0.2
"54","US",10434,1,0.2
"55","US",10435,1,0.2
"56","US",10436,1,0.2
"57","US",10437,3,0.6
"58","US",10438,3,0.6
"59","US",10439,1,0.2
"60","US",10440,1,0.2
"61","US",10441,0,0
"62","US",10442,0,0
"63","US",10443,0,0
"64","US",10444,0,0
"65","US",10445,3,0.6
"66","US",10446,2,0.4
"67","US",10447,0,0
"68","US",10448,1,0.2
"69","US",10449,1,0.2
"70","US",10450,3,0.6
"71","US",10451,0,0
"72","US",10452,0,0
"73","US",10453,0,0
"74","US",10454,4,0.8
"75","US",10455,0,0
"76","US",10456,0,0
"77","US",10457,2,0.4
"78","US",10458,2,0.4
"79","US",10460,0,0
"80","US",10461,4,0.8
"81","US",10462,0,0
"82","US",10463,0,0
"83","US",10464,0,0
"84","US",10465,1,0.2
"85","US",10466,4,0.8
"86","US",10467,1,0.2
"87","US",10468,0,0
"88","US",10469,2,0.4
"89","US",10470,3,0.6
"90","US",10471,0,0
"91","US",10472,1,0.2
"92","US",10473,0,0
"93","US",10474,0,0
"94","US",10475,1,0.2
"95","US",10476,0,0
"96","US",10477,2,0.4
"97","US",10478,1,0.2
"98","US",10479,3,0.6
"99","US",10480,1,0.2
"100","US",10481,0,0
"101","US",10482,1,0.2
"102","US",10483,0,0
"103","US",10484,3,0.6
"104","US",10485,2,0.4
"105","US",10486,0,0
"106","US",10487,0,0
"107","US",10488,2,0.4
"108","US",10489,0,0
"109","US",10490,1,0.2
"110","US",10491,2,0.4
"111","US",10492,1,0.2
"112","US",10493,3,0.6
"113","US",10494,1,0.2
"114","US",10495,1,0.2
"115","US",10496,2,0.4
"116","US",10501,0,0
"117","US",10502,0,0
"118","US",10503,0,0
"119","US",10504,0,0
"120","US",10505,0,0
"121","US",10506,2,0.4
"122","US",10507,1,0.2
"123","US",10508,0,0
"124","US",10509,1,0.2
"125","US",10510,1,0.2
"126","US",10511,0,0
"127","US",10512,0,0
"128","US",10513,3,0.6
"129","US",10514,1,0.2
"130","US",10515,0,0
"131","US",10516,2,0.4
"132","US",10517,4,0.8
"133","US",10518,1,0.2
"134","US",10519,2,0.4
"135","US",10520,1,0.2
"136","US",10521,0,0
"137","US",10522,2,0.4
"138","US",10523,1,0.2
"139","US",10524,1,0.2
"140","US",10525,0,0
"141","US",10526,0,0
"142","US",10527,0,0
"143","US",10528,0,0
"144","US",10529,2,0.4
"145","US",10530,0,0
"146","US",10531,2,0.4
"147","US",10532,1,0.2
"148","US",10533,0,0
"149","US",10534,3,0.6
"150","US",10535,0,0
"151","US",10536,3,0.6
"152","US",10537,0,0
"153","US",10538,0,0
"154","US",10539,1,0.2
"155","US",10540,3,0.6
"156","US",10541,2,0.4
"157","US",10542,1,0.2
"158","US",10543,0.5,0.1
"159","US",10544,1,0.2
"160","US",10545,0,0
"161","US",10546,0,0
"162","US",10547,1,0.2
"163","US",10548,1,0.2
"164","US",10549,4,0.8
"165","US",10550,3,0.6
"166","US",10552,2,0.4
"167","US",10553,1.5,0.3
"168","US",10554,0,0
"169","US",10555,2,0.4
"170","US",10556,0,0
"171","US",10557,0,0
