"","epi_ctry","epi_subj","question","response","question_text"
"1","China",20472,"epi_2_16",1,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"2","China",20471,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"3","China",20468,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"4","China",20467,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"5","China",20464,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"6","China",20463,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"7","China",20460,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"8","China",20459,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"9","China",20461,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"10","China",20465,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"11","China",20466,"epi_2_16",1,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"12","China",20469,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"13","China",20470,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"14","China",20403,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"15","China",20404,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"16","China",20407,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"17","China",20408,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"18","China",20411,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"19","China",20412,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"20","China",20415,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"21","China",20416,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"22","China",20419,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"23","China",20420,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"24","China",20423,"epi_2_16",1,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"25","China",20424,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"26","China",20427,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"27","China",20428,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"28","China",20431,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"29","China",20432,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"30","China",20435,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"31","China",20436,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"32","China",20439,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"33","China",20440,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"34","China",20443,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"35","China",20447,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"36","China",20448,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"37","China",20451,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"38","China",20452,"epi_2_16",NA,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"39","China",20455,"epi_2_16",1,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"40","China",20456,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"41","China",20560,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"42","China",20444,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"43","China",20462,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"44","China",20401,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"45","China",20402,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"46","China",20405,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"47","China",20406,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"48","China",20409,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"49","China",20410,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"50","China",20413,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"51","China",20414,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"52","China",20417,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"53","China",20418,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"54","China",20421,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"55","China",20422,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"56","China",20425,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"57","China",20426,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"58","China",20429,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"59","China",20430,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"60","China",20433,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"61","China",20434,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"62","China",20437,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"63","China",20438,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"64","China",20441,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"65","China",20442,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"66","China",20445,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"67","China",20446,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"68","China",20449,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"69","China",20450,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"70","China",20453,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"71","China",20454,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"72","China",20473,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"73","China",20474,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"74","China",20457,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"75","China",20458,"epi_2_16",1,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"76","China",20558,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"77","China",20557,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"78","China",20554,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"79","China",20553,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"80","China",20552,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"81","China",20555,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"82","China",20556,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"83","China",20559,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"84","China",20477,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"85","China",20478,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"86","China",20481,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"87","China",20482,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"88","China",20485,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"89","China",20486,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"90","China",20490,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"91","China",20489,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"92","China",20493,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"93","China",20494,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"94","China",20497,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"95","China",20498,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"96","China",20501,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"97","China",20502,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"98","China",20505,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"99","China",20506,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"100","China",20509,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"101","China",20510,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"102","China",20513,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"103","China",20514,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"104","China",20517,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"105","China",20518,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"106","China",20521,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"107","China",20522,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"108","China",20525,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
"109","China",20526,"epi_2_16",0,"16. Some people find that sometimes another being will enter their body. Has this ever happened to you?"
