"","epi_ctry","epi_subj","score"
"1","US",10381,0
"2","US",10382,1
"3","US",10383,4
"4","US",10384,0
"5","US",10385,0
"6","US",10386,0
"7","US",10387,2
"8","US",10388,0
"9","US",10389,1
"10","US",10390,2
"11","US",10391,0
"12","US",10392,0
"13","US",10393,0
"14","US",10394,6
"15","US",10395,0
"16","US",10396,0
"17","US",10397,0
"18","US",10398,1
"19","US",10399,3
"20","US",10400,7
"21","US",10401,1
"22","US",10402,0
"23","US",10403,1
"24","US",10404,2
"25","US",10405,2
"26","US",10406,4
"27","US",10407,0
"28","US",10408,0
"29","US",10409,6
"30","US",10410,0
"31","US",10411,1
"32","US",10412,1
"33","US",10413,3
"34","US",10414,0
"35","US",10415,0
"36","US",10416,0
"37","US",10417,2
"38","US",10418,7
"39","US",10419,2
"40","US",10420,0
"41","US",10421,0
"42","US",10422,3.5
"43","US",10423,5
"44","US",10424,2
"45","US",10425,0
"46","US",10426,0
"47","US",10427,2
"48","US",10428,3
"49","US",10429,2
"50","US",10430,5
"51","US",10431,0
"52","US",10432,0
"53","US",10433,0
"54","US",10434,0
"55","US",10435,0
"56","US",10436,3
"57","US",10437,5
"58","US",10438,1
"59","US",10439,5
"60","US",10440,2
"61","US",10441,0
"62","US",10442,0
"63","US",10443,0
"64","US",10444,0
"65","US",10445,3
"66","US",10446,5
"67","US",10447,0
"68","US",10448,0
"69","US",10449,1
"70","US",10450,3
"71","US",10451,1
"72","US",10452,1
"73","US",10453,0
"74","US",10454,9
"75","US",10455,1
"76","US",10456,0
"77","US",10457,0
"78","US",10458,2
"79","US",10460,3
"80","US",10461,2
"81","US",10462,0
"82","US",10463,0
"83","US",10464,2
"84","US",10465,1
"85","US",10466,7
"86","US",10467,3
"87","US",10468,3
"88","US",10469,4
"89","US",10470,5
"90","US",10471,1
"91","US",10472,0
"92","US",10473,0
"93","US",10474,0
"94","US",10475,7
"95","US",10476,1
"96","US",10477,5
"97","US",10478,0
"98","US",10479,9
"99","US",10480,3
"100","US",10481,0
"101","US",10482,8
"102","US",10483,5
"103","US",10484,6
"104","US",10485,5
"105","US",10486,2
"106","US",10487,1
"107","US",10488,3
"108","US",10489,3
"109","US",10490,3
"110","US",10491,6
"111","US",10492,4
"112","US",10493,5
"113","US",10494,5
"114","US",10495,6
"115","US",10496,5
"116","US",10501,0
"117","US",10502,0
"118","US",10503,0
"119","US",10504,0
"120","US",10505,2
"121","US",10506,6
"122","US",10507,3
"123","US",10508,3
"124","US",10509,5
"125","US",10510,4
"126","US",10511,3
"127","US",10512,0
"128","US",10513,3
"129","US",10514,1
"130","US",10515,0
"131","US",10516,2
"132","US",10517,3
"133","US",10518,0
