"","epi_ctry","epi_subj","score"
"1","US",10381,1
"2","US",10382,3
"3","US",10383,10
"4","US",10384,1
"5","US",10385,0
"6","US",10386,2
"7","US",10387,4
"8","US",10388,3
"9","US",10389,2
"10","US",10390,2
"11","US",10391,5
"12","US",10392,2
"13","US",10393,5
"14","US",10394,12
"15","US",10395,2
"16","US",10396,2
"17","US",10397,4
"18","US",10398,4
"19","US",10399,7
"20","US",10400,9
"21","US",10401,3
"22","US",10402,0
"23","US",10403,1
"24","US",10404,6
"25","US",10405,10
"26","US",10406,9.5
"27","US",10407,3
"28","US",10408,3
"29","US",10409,12
"30","US",10410,2
"31","US",10411,1
"32","US",10412,2
"33","US",10413,7
"34","US",10414,2
"35","US",10415,1
"36","US",10416,5
"37","US",10417,6
"38","US",10418,9
"39","US",10419,5
"40","US",10420,2
"41","US",10421,5
"42","US",10422,4.5
"43","US",10423,11
"44","US",10424,4
"45","US",10425,3
"46","US",10426,1
"47","US",10427,3
"48","US",10428,5
"49","US",10429,2
"50","US",10430,10
"51","US",10431,3
"52","US",10432,0
"53","US",10433,1
"54","US",10434,1
"55","US",10435,1
"56","US",10436,6
"57","US",10437,8
"58","US",10438,6.5
"59","US",10439,6
"60","US",10440,5
"61","US",10441,0
"62","US",10442,2
"63","US",10443,1
"64","US",10444,0
"65","US",10445,8
"66","US",10446,8
"67","US",10447,0
"68","US",10448,1
"69","US",10449,2
"70","US",10450,8
"71","US",10451,1
"72","US",10452,3
"73","US",10453,3
"74","US",10454,16
"75","US",10455,2
"76","US",10456,3
"77","US",10457,4
"78","US",10458,7
"79","US",10460,4
"80","US",10461,7
"81","US",10462,1
"82","US",10463,4
"83","US",10464,3
"84","US",10465,4
"85","US",10466,19
"86","US",10467,4
"87","US",10468,4
"88","US",10469,8
"89","US",10470,10
"90","US",10471,1
"91","US",10472,2
"92","US",10473,0
"93","US",10474,1
"94","US",10475,9
"95","US",10476,2
"96","US",10477,10
"97","US",10478,3
"98","US",10479,16
"99","US",10480,5
"100","US",10481,2
"101","US",10482,10
"102","US",10483,8
"103","US",10484,10
"104","US",10485,9
"105","US",10486,4
"106","US",10487,1
